parameter;Model;N;Xm;nr;ni;Value
Qa;tm;512;0.437;1.66;0.002;0.0190022381
Qa;tm;512;0.448;1.71;0.045;0.3881232
Qa;tm;512;0.504;1.66;0.002;0.022898375
Qa;tm;512;0.73;1.71;0.002;0.02973
Qa;tm;512;0.336;1.30;0.001;0.006885128
Qa;tm;512;0.336;1.30;0.0438;0.03011312
Qa;tm;512;0.336;1.30;0.0226;0.1539032
Qa;tm;512;0.336;1.30;0.09;0.592036
Qa;tm;512;0.336;1.66;0.002;0.01365788
Qa;tm;512;0.336;1.68;0.001;0.00618534
Qa;tm;512;0.336;1.68;0.00438;0.0271139583
Qa;tm;512;0.336;2.00;0.0226;0.1249824
Qa;tm;512;0.336;2.00;0.09;0.4832404
Qa;tm;512;0.640;1.30;0.0226;0.3141988
Qa;tm;512;0.640;1.30;0.045;0.6069792
Qa;tm;512;0.640;1.30;0.09;1.145008
Qa;tm;512;0.640;1.71;0.0226;0.3179075
Qa;tm;512;0.640;1.71;0.09;1.164056
Qa;tm;512;0.640;1.71;0.045;0.6215848
Qa;tm;512;0.640;2.00;0.0226;0.31861190476190476
Qa;tm;512;0.640;2.00;0.045;0.6144315
Qa;tm;512;0.640;2.00;0.09;1.1733526316
Qe;par;1024;0.168;1.66;0.00200;0.1940721
Qe;par;1024;0.235;1.66;0.00200;0.4533054
Qe;par;1024;0.320;1.71;0.04500;1.418766
Qe;par;1024;0.336;1.30;0.00100;0.2528992
Qe;par;1024;0.336;1.30;0.00220;0.2631548
Qe;par;1024;0.336;1.30;0.00438;0.2817698
Qe;par;1024;0.336;1.30;0.02260;0.4365761
Qe;par;1024;0.336;1.30;0.09000;0.9999366
Qe;par;1024;0.336;1.66;0.00100;1.1174707
Qe;par;1024;0.336;1.66;0.00200;1.1247478
Qe;par;1024;0.336;1.66;0.00220;1.1262033
Qe;par;1024;0.336;1.66;0.00438;1.1420643
Qe;par;1024;0.336;1.68;0.00100;1.1789191
Qe;par;1024;0.336;1.68;0.00438;1.203241
Qe;par;1024;0.336;1.71;0.02260;1.4256617
Qe;par;1024;0.336;1.71;0.04500;1.5849321
Qe;par;1024;0.336;1.71;0.09000;1.8997543
Qe;par;1024;0.336;2.00;0.00100;2.2703345
Qe;par;1024;0.336;2.00;0.00220;2.2774308
Qe;par;1024;0.336;2.00;0.00438;2.2903228
Qe;par;1024;0.437;1.66;0.00200;2.1841831
Qe;par;1024;0.448;1.71;0.04500;3.0512276
Qe;par;1024;0.504;1.71;0.04500;3.9925971
Qe;par;1024;0.640;1.30;0.00100;1.1817106
Qe;par;1024;0.640;1.30;0.00438;1.2371867
Qe;par;1024;0.640;1.30;0.02260;1.5326297
Qe;par;1024;0.640;1.30;0.04500;1.8912158
Qe;par;1024;0.640;1.30;0.09000;2.5794044
Qe;par;1024;0.640;1.68;0.00100;5.8636093
Qe;par;1024;0.640;1.68;0.00438;5.9005079
Qe;par;1024;0.640;1.71;0.02260;6.575696
Qe;par;1024;0.640;1.71;0.04500;6.8080649
Qe;par;1024;0.640;1.71;0.09000;7.2641935
Qe;par;1024;0.640;2.00;0.00438;11.6440554
Qe;par;1024;0.640;2.00;0.02260;11.7398338
Qe;par;1024;0.640;2.00;0.04500;11.8604498
Qe;par;1024;0.640;2.00;0.09000;12.1050167
Qe;par;1024;0.832;1.71;0.04500;11.4882212
Qe;par;128;0.168;1.66;0.00200;0.2528992
Qe;par;128;0.235;1.66;0.00200;0.1478713
Qe;par;128;0.320;1.71;0.04500;0.5405501
Qe;par;128;0.336;1.30;0.00100;0.0889719
Qe;par;128;0.336;1.30;0.00438;0.1035369
Qe;par;128;0.336;1.66;0.00200;0.3925102
Qe;par;128;0.336;1.68;0.00100;0.4100591
Qe;par;128;0.336;1.68;0.00438;0.4226936
Qe;par;128;0.336;2.00;0.00100;0.7890562
Qe;par;128;0.336;2.00;0.00438;0.7997768
Qe;par;128;0.437;1.66;0.00200;0.7930884
Qe;par;128;0.448;1.71;0.04500;1.1834526
Qe;par;128;0.504;1.71;0.04500;1.5622336
Qe;par;128;0.640;1.30;0.00100;0.448996
Qe;par;128;0.640;1.30;0.00438;0.4779308
Qe;par;128;0.640;1.68;0.00100;2.2445416
Qe;par;128;0.640;1.68;0.00438;2.2680414
Qe;par;128;0.640;2.00;0.00438;4.5231714
Qe;par;128;0.832;1.71;0.04500;4.8431954
Qe;par;256;0.168;1.66;0.00200;0.0901267
Qe;par;256;0.235;1.66;0.00200;0.2203125
Qe;par;256;0.320;1.71;0.04500;0.7546166
Qe;par;256;0.336;1.30;0.00100;0.1283617
Qe;par;256;0.336;1.30;0.00438;0.1466626
Qe;par;256;0.336;1.66;0.00200;0.5682969
Qe;par;256;0.336;1.68;0.00100;0.5945442
Qe;par;256;0.336;1.68;0.00438;0.6102813
Qe;par;256;0.336;2.00;0.00100;1.1445384
Qe;par;256;0.336;2.00;0.00438;1.1577674
Qe;par;256;0.437;1.66;0.00200;1.1292728
Qe;par;256;0.448;1.71;0.04500;1.6408083
Qe;par;256;0.504;1.71;0.04500;2.1586795
Qe;par;256;0.640;1.30;0.00100;0.6273068
Qe;par;256;0.640;1.30;0.00438;0.6632933
Qe;par;256;0.640;1.68;0.00100;3.1288779
Qe;par;256;0.640;1.68;0.00438;3.1564982
Qe;par;256;0.640;2.00;0.00438;6.2735991
Qe;par;256;0.832;1.71;0.04500;6.5133238
Qe;par;512;0.168;1.66;0.00200;0.1339979
Qe;par;512;0.235;1.66;0.00200;0.3192175
Qe;par;512;0.320;1.71;0.04500;1.0397618
Qe;par;512;0.336;1.30;0.00100;0.1814811
Qe;par;512;0.336;1.30;0.00220;0.1896471
Qe;par;512;0.336;1.30;0.00438;0.2044702
Qe;par;512;0.336;1.30;0.02260;0.3277975
Qe;par;512;0.336;1.30;0.09000;0.7774652
Qe;par;512;0.336;1.66;0.00100;0.7996939
Qe;par;512;0.336;1.66;0.00200;0.8055473
Qe;par;512;0.336;1.66;0.00220;0.8067179
Qe;par;512;0.336;1.66;0.00438;0.8194762
Qe;par;512;0.336;1.68;0.00100;0.8436441
Qe;par;512;0.336;1.68;0.00438;0.8632212
Qe;par;512;0.336;1.71;0.02260;1.0339468
Qe;par;512;0.336;1.71;0.04500;1.1622988
Qe;par;512;0.336;1.71;0.09000;1.416063
Qe;par;512;0.336;2.00;0.00100;1.6244674
Qe;par;512;0.336;2.00;0.00220;1.6302488
Qe;par;512;0.336;2.00;0.00438;1.6407503
Qe;par;512;0.336;2.00;0.02260;1.7285756
Qe;par;512;0.336;2.00;0.09000;2.0544159
Qe;par;512;0.437;1.66;0.00200;1.5802916
Qe;par;512;0.448;1.71;0.04500;2.2474697
Qe;par;512;0.504;1.71;0.04500;2.9483049
Qe;par;512;0.640;1.30;0.00100;0.8650782
Qe;par;512;0.640;1.30;0.00438;0.9097859
Qe;par;512;0.640;1.30;0.02260;1.1481434
Qe;par;512;0.640;1.30;0.04500;1.43806
Qe;par;512;0.640;1.30;0.09000;1.9965078
Qe;par;512;0.640;1.68;0.00100;4.3040075
Qe;par;512;0.640;1.68;0.00438;4.3361359
Qe;par;512;0.640;1.71;0.02260;4.8609529
Qe;par;512;0.640;1.71;0.04500;5.0653367
Qe;par;512;0.640;1.71;0.09000;5.4664073
Qe;par;512;0.640;2.00;0.00438;8.5877905
Qe;par;512;0.640;2.00;0.02260;8.6892729
Qe;par;512;0.640;2.00;0.04500;8.8160362
Qe;par;512;0.640;2.00;0.09000;9.0700226
Qe;par;512;0.832;1.71;0.04500;8.6798563
Qe;tm;1024;0.168;1.66;0.002;0.195486
Qe;tm;1024;0.235;1.66;0.002;0.4503552
Qe;tm;1024;0.336;1.30;0.001;0.2531724
Qe;tm;1024;0.336;1.30;0.0438;0.2818284
Qe;tm;1024;0.336;1.66;0.001;1.0856196
Qe;tm;1024;0.336;1.66;0.002;1.0940524
Qe;tm;1024;0.336;1.66;0.00438;1.1043166667
Qe;tm;1024;0.336;1.71;0.045;1.0940524
Qe;tm;1024;0.336;2.00;0.001;2.2261785714
Qe;tm;1024;0.336;2.00;0.0438;2.2375291667
Qe;tm;1024;0.640;1.30;0.0226;1.5074772727
Qe;tm;1024;0.640;1.30;0.09;2.4796363636
Qe;tm;1024;0.640;1.71;0.0226;6.0531
Qe;tm;1024;0.640;1.71;0.045;6.051575
Qe;tm;1024;0.640;2.00;0.0226;9.41481
Qe;tm;1024;0.640;2.00;0.045;9.4321
Qe;tm;128;0.168;1.66;0.002;0.059875
Qe;tm;128;0.235;1.66;0.002;0.1484532
Qe;tm;128;0.32;1.71;0.045;0.536074
Qe;tm;128;0.336;1.66;0.002;0.3890664
Qe;tm;128;0.437;1.66;0.002;0.7817744
Qe;tm;128;0.448;1.71;0.045;1.15756
Qe;tm;128;0.504;1.66;0.002;1.1400958333
Qe;tm;128;0.73;1.71;0.069;3.566332
Qe;tm;128;0.832;1.71;0.045;4.4445958333
Qe;tm;128;0.96;1.71;0.045;5.6801285714
Qe;tm;128;0.336;1.30;0.001;0.0896971818
Qe;tm;128;0.336;1.30;0.0438;0.1041731818
Qe;tm;128;0.336;1.30;0.0226;0.1817748
Qe;tm;128;0.336;1.30;0.09;0.4647184
Qe;tm;128;0.336;1.68;0.001;0.4062277273
Qe;tm;128;0.336;1.68;0.00438;0.4187027273
Qe;tm;128;0.336;2.00;0.001;0.7954640909
Qe;tm;128;0.336;2.00;0.0438;0.8060731818
Qe;tm;128;0.336;2.00;0.0226;0.8626928
Qe;tm;128;0.336;2.00;0.09;1.0721748
Qe;tm;128;0.640;1.30;0.001;0.4545132
Qe;tm;128;0.640;1.30;0.0438;0.4875435294
Qe;tm;128;0.640;1.30;0.0226;0.6327644
Qe;tm;128;0.640;1.30;0.09;1.160628
Qe;tm;128;0.640;1.68;0.001;2.180308
Qe;tm;128;0.640;1.68;0.00438;2.199992
Qe;tm;128;0.640;1.71;0.045;2.614932
Qe;tm;128;0.640;2.00;0.001;4.2198285714285717
Qe;tm;128;0.640;2.00;0.0438;4.2267791666666668
Qe;tm;128;0.640;2.00;0.0226;4.2845130434782615
Qe;tm;128;0.640;2.00;0.09;4.5262809524
Qe;tm;256;0.168;1.66;0.002;0.0925696
Qe;tm;256;0.235;1.66;0.002;0.2235032
Qe;tm;256;0.32;1.71;0.045;0.7496464
Qe;tm;256;0.437;1.66;0.002;1.1119544
Qe;tm;256;0.448;1.71;0.045;1.596848
Qe;tm;256;0.504;1.71;0.045;2.0779
Qe;tm;256;0.832;1.71;0.045;5.7583375
Qe;tm;256;0.336;1.30;0.001;0.1288033333
Qe;tm;256;0.336;1.30;0.0438;0.14699
Qe;tm;256;0.336;1.30;0.0226;0.2438205263
Qe;tm;256;0.336;1.30;0.09;0.598724
Qe;tm;256;0.336;1.66;0.002;0.5652208
Qe;tm;256;0.336;1.68;0.001;0.5834225
Qe;tm;256;0.336;1.68;0.00438;0.5989091667
Qe;tm;256;0.336;2.00;0.001;1.1383428571
Qe;tm;256;0.336;2.00;0.0438;1.1505636364
Qe;tm;256;0.336;2.00;0.0226;1.2250076923
Qe;tm;256;0.336;2.00;0.09;1.4742517241
Qe;tm;256;0.640;1.30;0.001;0.6290245455
Qe;tm;256;0.640;1.30;0.0438;0.6644204545
Qe;tm;256;0.640;1.30;0.0226;0.85234
Qe;tm;256;0.640;1.68;0.001;2.9541545455
Qe;tm;256;0.640;1.68;0.00438;2.9764090909
Qe;tm;256;0.640;1.71;0.045;3.4987125
Qe;tm;256;0.640;2.00;0.001;5.57175
Qe;tm;256;0.640;2.00;0.0438;5.5826631579
Qe;tm;256;0.96;1.30;0.006;1.724568
Qe;tm;256;0.96;1.30;0.0226;1.93944
Qe;tm;256;0.96;1.30;0.09;2.740156
Qe;tm;256;0.96;1.30;0.3;4.673376
Qe;tm;256;0.96;1.71;0.045; 7.1868124999999994
Qe;tm;256;0.96;2.00;0.006;10.377
Qe;tm;512;0.168;1.66;0.002;0.132272
Qe;tm;512;0.235;1.66;0.002;0.311798
Qe;tm;512;0.32;1.71;0.045;1.0062428
Qe;tm;512;0.437;1.66;0.002;1.4968
Qe;tm;512;0.448;1.71;0.045;2.118144
Qe;tm;512;0.504;1.66;0.002;2.1306583333
Qe;tm;512;0.73;1.71;0.002;5.6803
Qe;tm;512;0.336;1.30;0.001;0.1788124
Qe;tm;512;0.336;1.30;0.0438;0.2016624
Qe;tm;512;0.336;1.30;0.0226;0.3241944
Qe;tm;512;0.336;1.30;0.09;0.7683548
Qe;tm;512;0.336;1.66;0.002;0.774996
Qe;tm;512;0.336;1.68;0.001;0.791622
Qe;tm;512;0.336;1.68;0.00438;0.8262625
Qe;tm;512;0.336;2.00;0.0226;1.673284
Qe;tm;512;0.336;2.00;0.09;1.984832
Qe;tm;512;0.640;1.30;0.0226;1.123928
Qe;tm;512;0.640;1.30;0.045;1.397784
Qe;tm;512;0.640;1.30;0.09;1.92472
Qe;tm;512;0.640;1.71;0.0226;4.3256
Qe;tm;512;0.640;1.71;0.09;4.857268
Qe;tm;512;0.640;1.71;0.045;4.558676
Qe;tm;512;0.640;2.00;0.0226;7.2857666666666674
Qe;tm;512;0.640;2.00;0.045;7.3381099999999986
Qe;tm;512;0.640;2.00;0.09;7.5157210526
Qs;par;1024;0.168;1.66;0.00200;0.1870497
Qs;par;1024;0.235;1.66;0.00200;0.4430519
Qs;par;1024;0.320;1.71;0.04500;1.0998294
Qs;par;1024;0.336;1.30;0.00100;0.2442036
Qs;par;1024;0.336;1.30;0.00220;0.2440384
Qs;par;1024;0.336;1.30;0.00438;0.2437602
Qs;par;1024;0.336;1.30;0.02260;0.2425319
Qs;par;1024;0.336;1.30;0.09000;0.2542563
Qs;par;1024;0.336;1.66;0.00100;1.1096586
Qs;par;1024;0.336;1.66;0.00200;1.109131
Qs;par;1024;0.336;1.66;0.00220;1.1090264
Qs;par;1024;0.336;1.66;0.00438;1.1079026
Qs;par;1024;0.336;1.68;0.00100;1.1711656
Qs;par;1024;0.336;1.68;0.00438;1.1693352
Qs;par;1024;0.336;1.71;0.02260;1.2541624
Qs;par;1024;0.336;1.71;0.04500;1.2454025
Qs;par;1024;0.336;1.71;0.09000;1.2366937
Qs;par;1024;0.336;2.00;0.00100;2.2635651
Qs;par;1024;0.336;2.00;0.00220;2.2625451
Qs;par;1024;0.336;2.00;0.00438;2.2607112
Qs;par;1024;0.437;1.66;0.00200;2.1625683
Qs;par;1024;0.448;1.71;0.04500;2.5704331
Qs;par;1024;0.504;1.71;0.04500;3.4345744
Qs;par;1024;0.640;1.30;0.00100;1.1636742
Qs;par;1024;0.640;1.30;0.00438;1.1585511
Qs;par;1024;0.640;1.30;0.02260;1.1367042
Qs;par;1024;0.640;1.30;0.04500;1.1224139
Qs;par;1024;0.640;1.30;0.09000;1.1317774
Qs;par;1024;0.640;1.68;0.00100;5.8457532
Qs;par;1024;0.640;1.68;0.00438;5.8226123
Qs;par;1024;0.640;1.71;0.02260;6.1834965
Qs;par;1024;0.640;1.71;0.04500;6.0437407
Qs;par;1024;0.640;1.71;0.09000;5.8166828
Qs;par;1024;0.640;2.00;0.00438;11.5695105
Qs;par;1024;0.640;2.00;0.02260;11.3623209
Qs;par;1024;0.640;2.00;0.04500;11.1225719
Qs;par;1024;0.640;2.00;0.09000;10.7001286
Qs;par;1024;0.832;1.71;0.04500;10.410162
Qs;par;128;0.168;1.66;0.00200;0.2442036
Qs;par;128;0.235;1.66;0.00200;0.1427436
Qs;par;128;0.320;1.71;0.04500;0.3801895
Qs;par;128;0.336;1.30;0.00100;0.0846233
Qs;par;128;0.336;1.30;0.00438;0.0845181
Qs;par;128;0.336;1.66;0.00200;0.3846997
Qs;par;128;0.336;1.68;0.00100;0.4061818
Qs;par;128;0.336;1.68;0.00438;0.4057308
Qs;par;128;0.336;2.00;0.00100;0.7856712
Qs;par;128;0.336;2.00;0.00438;0.784964
Qs;par;128;0.437;1.66;0.00200;0.782277
Qs;par;128;0.448;1.71;0.04500;0.9410388
Qs;par;128;0.504;1.71;0.04500;1.2804953
Qs;par;128;0.640;1.30;0.00100;0.4399747
Qs;par;128;0.640;1.30;0.00438;0.4385528
Qs;par;128;0.640;1.68;0.00100;2.235611
Qs;par;128;0.640;1.68;0.00438;2.2290411
Qs;par;128;0.640;2.00;0.00438;4.4858551
Qs;par;128;0.832;1.71;0.04500;4.2931528
Qs;par;256;0.168;1.66;0.00200;0.0857025
Qs;par;256;0.235;1.66;0.00200;0.2138525
Qs;par;256;0.320;1.71;0.04500;0.5529587
Qs;par;256;0.336;1.30;0.00100;0.1228833
Qs;par;256;0.336;1.30;0.00438;0.1227064
Qs;par;256;0.336;1.66;0.00200;0.5584571
Qs;par;256;0.336;1.68;0.00100;0.5896595
Qs;par;256;0.336;1.68;0.00438;0.5889138
Qs;par;256;0.336;2.00;0.00100;1.1402737
Qs;par;256;0.336;2.00;0.00438;1.1391075
Qs;par;256;0.437;1.66;0.00200;1.115653
Qs;par;256;0.448;1.71;0.04500;1.3362539
Qs;par;256;0.504;1.71;0.04500;1.8048855
Qs;par;256;0.640;1.30;0.00100;0.615942
Qs;par;256;0.640;1.30;0.00438;0.613706
Qs;par;256;0.640;1.68;0.00100;3.1176269
Qs;par;256;0.640;1.68;0.00438;3.1073835
Qs;par;256;0.640;2.00;0.00438;6.2266026
Qs;par;256;0.832;1.71;0.04500;5.8250699
Qs;par;512;0.168;1.66;0.00200;0.128424
Qs;par;512;0.235;1.66;0.00200;0.3110788
Qs;par;512;0.320;1.71;0.04500;0.7861593
Qs;par;512;0.336;1.30;0.00100;0.174579
Qs;par;512;0.336;1.30;0.00220;0.1744725
Qs;par;512;0.336;1.30;0.00438;0.1742947
Qs;par;512;0.336;1.30;0.02260;0.1735916
Qs;par;512;0.336;1.30;0.09000;0.1826649
Qs;par;512;0.336;1.66;0.00100;0.7934932
Qs;par;512;0.336;1.66;0.00200;0.7931511
Qs;par;512;0.336;1.66;0.00220;0.7930833
Qs;par;512;0.336;1.66;0.00438;0.7923567
Qs;par;512;0.336;1.68;0.00100;0.8374899
Qs;par;512;0.336;1.68;0.00438;0.836305
Qs;par;512;0.336;1.71;0.02260;0.8976955
Qs;par;512;0.336;1.71;0.04500;0.8922909
Qs;par;512;0.336;1.71;0.09000;0.8877583
Qs;par;512;0.336;2.00;0.00100;1.6190944
Qs;par;512;0.336;2.00;0.00220;1.618433
Qs;par;512;0.336;2.00;0.00438;1.6172439
Qs;par;512;0.336;2.00;0.02260;1.608039
Qs;par;512;0.336;2.00;0.09000;1.5850097
Qs;par;512;0.437;1.66;0.00200;1.5631338
Qs;par;512;0.448;1.71;0.04500;1.8648186
Qs;par;512;0.504;1.71;0.04500;2.5039904
Qs;par;512;0.640;1.30;0.00100;0.8507611
Qs;par;512;0.640;1.30;0.00438;0.8473415
Qs;par;512;0.640;1.30;0.02260;0.833087
Qs;par;512;0.640;1.30;0.04500;0.8247241
Qs;par;512;0.640;1.30;0.09000;0.8358237
Qs;par;512;0.640;1.68;0.00100;4.2898335
Qs;par;512;0.640;1.68;0.00438;4.2742829
Qs;par;512;0.640;1.71;0.02260;4.5489683
Qs;par;512;0.640;1.71;0.04500;4.455987
Qs;par;512;0.640;1.71;0.09000;4.3073635
Qs;par;512;0.640;2.00;0.00438;8.5286016
Qs;par;512;0.640;2.00;0.02260;8.3890467
Qs;par;512;0.640;2.00;0.04500;8.2280636
Qs;par;512;0.640;2.00;0.09000;7.9462047
Qs;par;512;0.832;1.71;0.04500;7.8185196
Qs;tm;1024;0.168;1.66;0.002;0.18777
Qs;tm;1024;0.235;1.66;0.002;0.439084
Qs;tm;1024;0.336;1.30;0.001;0.2444912
Qs;tm;1024;0.336;1.30;0.0438;0.2438732
Qs;tm;1024;0.336;1.66;0.001;1.0777464
Qs;tm;1024;0.336;1.66;0.002;1.076822
Qs;tm;1024;0.336;1.66;0.00438;1.0698866667
Qs;tm;1024;0.336;1.71;0.045;1.076822
Qs;tm;1024;0.336;2.00;0.001;2.2191142857
Qs;tm;1024;0.336;2.00;0.0438;2.206725
Qs;tm;1024;0.640;1.30;0.0226;1.1126968182
Qs;tm;1024;0.640;1.30;0.09;1.0525090909
Qs;tm;1024;0.640;1.71;0.0226;5.6548
Qs;tm;1024;0.640;1.71;0.045;5.27395
Qs;tm;1024;0.640;2.00;0.0226;9.01452
Qs;tm;1024;0.640;2.00;0.045;8.6615
Qs;tm;128;0.168;1.66;0.002;0.0560314348
Qs;tm;128;0.235;1.66;0.002;0.1428592
Qs;tm;128;0.32;1.71;0.045;0.3744824
Qs;tm;128;0.336;1.66;0.002;0.3804616
Qs;tm;128;0.437;1.66;0.002;0.7698392
Qs;tm;128;0.448;1.71;0.045;0.9121708
Qs;tm;128;0.504;1.66;0.002;1.1256208333
Qs;tm;128;0.73;1.71;0.069;2.871776
Qs;tm;128;0.832;1.71;0.045;3.8818666667
Qs;tm;128;0.96;1.71;0.045;4.9971571429
Qs;tm;128;0.336;1.30;0.001;0.0853708182
Qs;tm;128;0.336;1.30;0.0438;0.0852307727
Qs;tm;128;0.336;1.30;0.0226;0.08473924
Qs;tm;128;0.336;1.30;0.09;0.08868256
Qs;tm;128;0.336;1.68;0.001;0.4023459091
Qs;tm;128;0.336;1.68;0.00438;0.4016854545
Qs;tm;128;0.336;2.00;0.001;0.7919822727
Qs;tm;128;0.336;2.00;0.0438;0.7907840909
Qs;tm;128;0.336;2.00;0.0226;0.7841932
Qs;tm;128;0.336;2.00;0.09;0.7668016
Qs;tm;128;0.640;1.30;0.001;0.4455092
Qs;tm;128;0.640;1.30;0.0438;0.4481917647
Qs;tm;128;0.640;1.30;0.0226;0.433964
Qs;tm;128;0.640;1.30;0.09;0.4261664
Qs;tm;128;0.640;1.68;0.001;2.171172
Qs;tm;128;0.640;1.68;0.00438;2.160172
Qs;tm;128;0.640;1.71;0.045;2.22012
Qs;tm;128;0.640;2.00;0.001;4.2106761904761907
Qs;tm;128;0.640;2.00;0.0438;4.1868708333333329
Qs;tm;128;0.640;2.00;0.0226;4.08321304347826
Qs;tm;128;0.640;2.00;0.09;3.7747238095
Qs;tm;256;0.168;1.66;0.002;0.0877288
Qs;tm;256;0.235;1.66;0.002;0.2164368
Qs;tm;256;0.32;1.71;0.045;0.5460728
Qs;tm;256;0.437;1.66;0.002;1.096874
Qs;tm;256;0.448;1.71;0.045;1.288344
Qs;tm;256;0.504;1.71;0.045;1.719308
Qs;tm;256;0.832;1.71;0.045;5.0557208333
Qs;tm;256;0.336;1.30;0.001;0.1233475
Qs;tm;256;0.336;1.30;0.0438;0.12311
Qs;tm;256;0.336;1.30;0.0226;0.1216136842
Qs;tm;256;0.336;1.30;0.09;0.1271313333
Qs;tm;256;0.336;1.66;0.002;0.5543968
Qs;tm;256;0.336;1.68;0.001;0.5785208333
Qs;tm;256;0.336;1.68;0.00438;0.5774283333
Qs;tm;256;0.336;2.00;0.001;1.1339428571
Qs;tm;256;0.336;2.00;0.0438;1.1312545455
Qs;tm;256;0.336;2.00;0.0226;1.1260076923
Qs;tm;256;0.336;2.00;0.09;1.0903265517
Qs;tm;256;0.640;1.30;0.001;0.6176772727
Qs;tm;256;0.640;1.30;0.0438;0.6148581818
Qs;tm;256;0.640;1.30;0.0226;0.6023133333
Qs;tm;256;0.640;1.68;0.001;2.9426681818
Qs;tm;256;0.640;1.68;0.00438;2.9262545455
Qs;tm;256;0.640;1.71;0.045;3.0040625
Qs;tm;256;0.640;2.00;0.001;5.5602333333
Qs;tm;256;0.640;2.00;0.0438;5.5324368421
Qs;tm;256;0.96;1.30;0.006;1.615088
Qs;tm;256;0.96;1.30;0.0226;1.54302
Qs;tm;256;0.96;1.30;0.09;1.378596
Qs;tm;256;0.96;1.30;0.3;1.540408
Qs;tm;256;0.96;1.71;0.045;6.3358416666666661
Qs;tm;256;0.96;2.00;0.006;10.239
Qs;tm;512;0.168;1.66;0.002;0.126164
Qs;tm;512;0.235;1.66;0.002;0.3028744
Qs;tm;512;0.32;1.71;0.045;0.7497744
Qs;tm;512;0.437;1.66;0.002;1.4777904762
Qs;tm;512;0.448;1.71;0.045;1.730012
Qs;tm;512;0.504;1.66;0.002;2.1077625
Qs;tm;512;0.73;1.71;0.002;5.6506
Qs;tm;512;0.336;1.30;0.001;0.171926
Qs;tm;512;0.336;1.30;0.0438;0.1715508
Qs;tm;512;0.336;1.30;0.0226;0.1702908
Qs;tm;512;0.336;1.30;0.09;0.17632
Qs;tm;512;0.336;1.66;0.002;0.7613376
Qs;tm;512;0.336;1.68;0.001;0.78544
Qs;tm;512;0.336;1.68;0.00438;0.7991475
Qs;tm;512;0.336;2.00;0.0226;1.548304
Qs;tm;512;0.336;2.00;0.09;1.501608
Qs;tm;512;0.640;1.30;0.0226;0.8097372
Qs;tm;512;0.640;1.30;0.045;0.7908076
Qs;tm;512;0.640;1.30;0.09;0.779706
Qs;tm;512;0.640;1.71;0.0226;4.0077
Qs;tm;512;0.640;1.71;0.09;3.693208
Qs;tm;512;0.640;1.71;0.045;3.937104
Qs;tm;512;0.640;2.00;0.0226;6.9671619047619053
Qs;tm;512;0.640;2.00;0.045;6.723679999999999
Qs;tm;512;0.640;2.00;0.09;6.3423789474
